year,K_equip,K_struc,K_ip,K_rr,I_equip,I_struc,I_ip,I_rr
1987,3900.085,9540.71,906.564,2287.199,370.92,407.057,168.306,91.692
1988,3950.974,9771.807,960.509,2324.093,391.579,408.148,175.99,80.447
1989,4014.228,9996.389,1017.683,2354.392,407.37,405.878,191.276,81.347
1990,4073.984,10223.867,1079.574,2381.293,396.609,425.709,203.326,76.445
1991,4110.253,10426.599,1143.18,2396.928,371.387,368.15,214.19,61.564
1992,4135.305,10574.6,1205.469,2404.03,382.518,327.753,220.929,61.96
1993,4185.707,10705.007,1264.9,2413.235,429.202,343.615,228.907,68.242
1994,4274.555,10838.623,1321.694,2426.141,469.326,344.328,236.147,71.89
1995,4394.293,10978.152,1379.733,2446.971,506.044,365.365,251.935,86.688
1996,4535.435,11137.189,1448.267,2474.017,531.925,392.863,278.107,87.052
1997,4694.234,11317.572,1533.929,2501.988,565.336,417.319,309.518,91.38
1998,4881.104,11511.747,1635.655,2529.536,616.165,429.67,339.318,89.102
1999,5101.932,11703.923,1754.589,2559.872,666.473,422.335,380.461,99.939
2000,5346.76,11908.081,1888.688,2594.509,703.666,462.047,414.484,100.878
2001,5566.939,12128.868,2014.354,2625.954,661.565,463.706,415.568,96.94
2002,5722.894,12297.511,2111.14,2656.537,618.418,365.903,408.596,102.575
2003,5843.752,12405.39,2189.043,2692.891,628.508,349.364,422.027,112.023
2004,5978.749,12502.489,2265.501,2734.877,679.629,350.391,442.247,117.667
2005,6155.614,12603.38,2350.269,2779.792,745.635,362.599,472.222,122.057
2006,6375.662,12722.213,2444.413,2820.146,803.33,391.692,494.302,113.032
2007,6613.808,12880.443,2545.228,2848.893,824.829,446.784,518.556,103.398
2008,6809.789,13077.635,2649.523,2863.141,765.717,475.182,533.705,88.377
2009,6862.082,13236.631,2739.765,2859.326,580.376,376.236,523.16,71.195
2010,6856.512,13312.89,2814.618,2841.202,677.096,314.925,533.333,63.087
2011,6933.6,13363.363,2891.543,2818.603,764.48,328.796,551.755,65.008
2012,7084.874,13439.947,2977.935,2800.087,849.43,371.143,574.515,73.606
2013,7279.911,13542.872,3072.032,2789.132,881.556,385.973,592.857,82.215
2014,7494.106,13679.261,3173.154,2784.573,922.01,443.028,618.558,88.316
2015,7732.626,13829.036,3285.862,2787.782,967.283,418.343,651,99.474
